term 	 tf-idf weight 	 BM25 ranking 
 italy 	 198.8708952249277 1.8725758077861772 
technical 	 4515.95981395382 0.7796986419535596 
checked 	 7747.236610176223 0.7796986419535596 
means 	 1588.8363024841074 1.1219901757488229 
survey 	 2150.5148680996313 1.1219901757488229 
tests 	 1058.4218593265791 1.5232075279131518 
rina 	 1766.2585255161694 1.5862328514592021 
authorized 	 3575.6721395600275 1.1219901757488229 
maritime 	 2883.969596621931 1.3143213523459647 
carry 	 1707.7716560664792 1.3143213523459647 
avoid 	 4827.46218426097 0.7796986419535596 
repeating 	 10597.551153097014 0.7796986419535596 
identical 	 8142.423839553689 0.7796986419535596 
law 	 1481.338434660389 0.7796986419535596 
carried 	 2739.351384931453 1.1219901757488229 
prototype 	 3575.6721395600275 1.1219901757488229 
satisfactory 	 4071.2119197768443 1.1219901757488229 
completion 	 6706.26642663457 0.7796986419535596 
issues 	 1229.7969492543277 1.1219901757488229 
approval 	 2900.7971234725 1.1219901757488229 
called 	 3098.948533455268 0.7796986419535596 
homologation 	 1059.7551153097015 1.7293418180397342 
certificate 	 1629.91823835114 1.4375319749104702 
actual 	 4459.732869238698 0.7796986419535596 
procedure 	 1206.8655460652426 1.4375319749104702 
drawings 	 2119.510230619403 1.5232075279131518 
sent 	 5044.59089668649 0.7796986419535596 
head 	 1968.2328741018575 1.1219901757488229 
office 	 1452.33587549707 1.1219901757488229 
examination 	 2708.902091432052 0.7796986419535596 
structural 	 5044.59089668649 0.7796986419535596 
bilge 	 10597.551153097014 0.7796986419535596 
electric 	 5478.702769862906 0.7796986419535596 
plant 	 5205.7019158888315 0.7796986419535596 
rudder 	 10597.551153097014 0.7796986419535596 
shaft 	 9369.987496325351 0.7796986419535596 
brackets 	 9369.987496325351 0.7796986419535596 
examined 	 4459.732869238698 0.7796986419535596 
returned 	 5801.594246945 0.7796986419535596 
shipyard's 	 10597.551153097014 0.7796986419535596 
agent 	 536.3846871401078 1.703723665272767 
recommendations 	 4696.216965576728 0.7796986419535596 
complied 	 10597.551153097014 0.7796986419535596 
physical 	 3346.466933401674 0.7796986419535596 
surveyors 	 9369.987496325351 0.7796986419535596 
directly 	 2125.5695565456217 1.1219901757488229 
surveyor 	 5298.775576548507 1.1219901757488229 
findings 	 5044.59089668649 0.7796986419535596 
previously 	 2739.351384931453 1.1219901757488229 
stated 	 3175.43931248555 1.1219901757488229 
covers 	 5382.949720993248 0.7796986419535596 
mass 	 1002.302777847686 1.1219901757488229 
model 	 1852.5687025715472 1.1219901757488229 
prototypes 	 5298.775576548507 1.1219901757488229 
components 	 4969.217819550803 0.7796986419535596 
homologated 	 5298.775576548507 1.1219901757488229 
metallic 	 4684.993748162676 1.1219901757488229 
tanks 	 7747.236610176223 0.7796986419535596 
fans 	 10597.551153097014 0.7796986419535596 
blowers 	 10597.551153097014 0.7796986419535596 
propelled 	 8142.423839553689 0.7796986419535596 
extinguishers 	 10597.551153097014 0.7796986419535596 
compulsory 	 9369.987496325351 0.7796986419535596 
requirement 	 2380.3120317016737 1.1219901757488229 
materials 	 4202.615529804093 0.7796986419535596 
submit 	 5478.702769862906 0.7796986419535596 
belonging 	 6914.860182782025 0.7796986419535596 
series 	 4020.8150229636854 0.7796986419535596 
mentioned 	 6519.67295340456 0.7796986419535596 
sufficient 	 5923.780622348391 0.7796986419535596 
provide 	 2999.1474828232135 0.7796986419535596 
authority 	 3855.951883713778 0.7796986419535596 
copy 	 5687.296526010362 0.7796986419535596 
written 	 1950.1089481965516 0.7796986419535596 
declaration 	 5382.949720993248 0.7796986419535596 
signed 	 3855.951883713778 0.7796986419535596 
manufacturer 	 1270.17572499422 1.5232075279131518 
stating 	 5923.780622348391 0.7796986419535596 
product 	 1143.507647543334 1.4375319749104702 
built 	 4696.216965576728 0.7796986419535596 
conformity 	 3712.1725665470644 1.1219901757488229 
wish 	 5478.702769862906 0.7796986419535596 
homologate 	 10597.551153097014 0.7796986419535596 
legal 	 3023.5754563195806 0.7796986419535596 
shipyard 	 3123.329165441784 1.3143213523459647 
behalf 	 1421.8241315025905 1.4375319749104702 
sign 	 2380.3120317016737 1.1219901757488229 
statement 	 4020.8150229636854 0.7796986419535596 
produced 	 4696.216965576728 0.7796986419535596 
specifics 	 7151.344279120055 0.7796986419535596 
contact 	 219.94300049060917 1.785089797965086 
address 	 1889.4698752342504 1.1219901757488229 
list 	 1354.848546620411 1.3143213523459647 
practices 	 3817.0272399148266 0.7796986419535596 
usually 	 2229.866434619349 1.1219901757488229 
sell 	 5044.59089668649 0.7796986419535596 
retailed 	 9369.987496325351 0.7796986419535596 
full 	 3048.3450908568448 0.7796986419535596 
spectrum 	 6706.26642663457 0.7796986419535596 
lines 	 4301.0297361992625 0.7796986419535596 
tend 	 6350.8786249711 0.7796986419535596 
represent 	 5044.59089668649 0.7796986419535596 
frequently 	 4574.030590173336 0.7796986419535596 
presently 	 6914.860182782025 0.7796986419535596 
outlets 	 7747.236610176223 0.7796986419535596 
brokers 	 8142.423839553689 0.7796986419535596 
government 	 2089.6298828744166 0.7796986419535596 
announced 	 4969.217819550803 0.7796986419535596 
citizens 	 2229.866434619349 1.1219901757488229 
act 	 1616.0846062335177 1.1219901757488229 
agents 	 2691.474860496624 1.1219901757488229 
signing 	 6055.025841032632 0.7796986419535596 
standards 	 3817.0272399148266 0.7796986419535596 
compliance 	 5923.780622348391 0.7796986419535596 
documents 	 4405.236261739878 0.7796986419535596 
factory 	 7424.345133094129 0.7796986419535596 
personnel 	 4155.386064221585 0.7796986419535596 
paperwork 	 7747.236610176223 0.7796986419535596 
signs 	 6196.781476322466 0.7796986419535596 
people 	 2075.1726597324628 0.7796986419535596 
terminates 	 9369.987496325351 0.7796986419535596 
dealer 	 2714.1412798512297 1.3143213523459647 
distributor 	 3123.329165441784 1.3143213523459647 
party 	 1616.0846062335177 1.1219901757488229 
owns 	 6914.860182782025 0.7796986419535596 
charge 	 4896.922067255431 0.7796986419535596 
royalty 	 10597.551153097014 0.7796986419535596 
alternatively 	 7747.236610176223 0.7796986419535596 
anew 	 10597.551153097014 0.7796986419535596 
associatin 	 10597.551153097014 0.7796986419535596 
nmma 	 2649.3877882742536 1.4375319749104702 
hoc 	 8651.908789865793 0.7796986419535596 
required 	 3669.3584104837673 0.7796986419535596 
citizen 	 5687.296526010362 0.7796986419535596 
builder 	 8651.908789865793 0.7796986419535596 
multiple 	 5292.109296632896 0.7796986419535596 
companies 	 1927.975941856889 1.1219901757488229 
meeting 	 4064.5456398612328 0.7796986419535596 
citizenship 	 6196.781476322466 0.7796986419535596 
downside 	 10597.551153097014 0.7796986419535596 
difficulties 	 4969.217819550803 0.7796986419535596 
terminating 	 8651.908789865793 0.7796986419535596 
acts 	 5044.59089668649 0.7796986419535596 
information 	 490.35724641381586 1.3143213523459647 
obtained 	 5478.702769862906 0.7796986419535596 
department 	 3406.506581419306 0.7796986419535596 
commerce 	 6055.025841032632 0.7796986419535596 
district 	 4459.732869238698 0.7796986419535596 
offices 	 4155.386064221585 0.7796986419535596 
commercial 	 4064.5456398612328 0.7796986419535596 
management 	 2951.2797040242085 0.7796986419535596 
database 	 6914.860182782025 0.7796986419535596 
cims 	 9369.987496325351 0.7796986419535596 
bank 	 3566.1641741962067 0.7796986419535596 
ntdb 	 10597.551153097014 0.7796986419535596 
intersted 	 10597.551153097014 0.7796986419535596 
channels 	 5687.296526010362 0.7796986419535596 
ads 	 8142.423839553689 0.7796986419535596 
comparison 	 2881.8198210297473 0.7796986419535596 
shopping 	 7747.236610176223 0.7796986419535596 
css 	 10597.551153097014 0.7796986419535596 
offer 	 4301.0297361992625 0.7796986419535596 
money 	 3346.466933401674 0.7796986419535596 
financing 	 5123.314968199437 0.7796986419535596 
payments 	 4896.922067255431 0.7796986419535596 
cash 	 5801.594246945 0.7796986419535596 
days 	 3741.6541627791394 0.7796986419535596 
letter 	 4896.922067255431 0.7796986419535596 
credit 	 4251.139113091243 0.7796986419535596 
difficult 	 4405.236261739878 0.7796986419535596 
establish 	 5044.59089668649 0.7796986419535596 
mark 	 2961.8903111741956 1.1219901757488229 
imposed 	 5478.702769862906 0.7796986419535596 
greatly 	 6519.67295340456 0.7796986419535596 
varies 	 7151.344279120055 0.7796986419535596 
depending 	 5123.314968199437 0.7796986419535596 
deemed 	 7424.345133094129 0.7796986419535596 
prefer 	 6914.860182782025 0.7796986419535596 
rely 	 6519.67295340456 0.7796986419535596 
quantities 	 7424.345133094129 0.7796986419535596 
associations 	 6706.26642663457 0.7796986419535596 
consornautica 	 5298.775576548507 1.1219901757488229 
aldo 	 5298.775576548507 1.1219901757488229 
ceccarelli 	 5298.775576548507 1.1219901757488229 
president 	 999.715827607738 1.3143213523459647 
piazzale 	 3532.5170510323387 1.3143213523459647 
kennedy 	 2646.054648316448 1.1219901757488229 
phn 	 963.4137411906377 1.7508823007832064 
fax 	 382.05595725491753 1.7508823007832064 
associaton 	 10597.551153097014 0.7796986419535596 
jeff 	 8142.423839553689 0.7796986419535596 
napier 	 10597.551153097014 0.7796986419535596 
north 	 3124.803007230129 0.7796986419535596 
michigan 	 5579.930320773456 0.7796986419535596 
avenue 	 5478.702769862906 0.7796986419535596 
chicago 	 4405.236261739878 0.7796986419535596 
illinois 	 4352.366664001793 0.7796986419535596 
concerning 	 3468.6533088050646 0.7796986419535596 
registro 	 10597.551153097014 0.7796986419535596 
italiano 	 9369.987496325351 0.7796986419535596 
navale 	 10597.551153097014 0.7796986419535596 
eng 	 7747.236610176223 0.7796986419535596 
salvatore 	 10597.551153097014 0.7796986419535596 
agliano 	 10597.551153097014 0.7796986419535596 
director 	 600.3736471148704 1.6345413893037837 
services 	 2495.738010167523 0.7796986419535596 
corsica 	 10597.551153097014 0.7796986419535596 
publications 	 3288.396157182157 0.7796986419535596 
nautica 	 5298.775576548507 1.1219901757488229 
editrice 	 10597.551153097014 0.7796986419535596 
lucio 	 10597.551153097014 0.7796986419535596 
petrone 	 10597.551153097014 0.7796986419535596 
tevere 	 10597.551153097014 0.7796986419535596 
rome 	 7747.236610176223 0.7796986419535596 
vela 	 10597.551153097014 0.7796986419535596 
motore 	 5298.775576548507 1.1219901757488229 
edisport 	 10597.551153097014 0.7796986419535596 
giulio 	 9369.987496325351 0.7796986419535596 
palumbo 	 10597.551153097014 0.7796986419535596 
gradisca 	 10597.551153097014 0.7796986419535596 
milan 	 1936.8091525440557 1.4375319749104702 
barche 	 5298.775576548507 1.1219901757488229 
gruppo 	 10597.551153097014 0.7796986419535596 
editoriale 	 10597.551153097014 0.7796986419535596 
commerciale 	 10597.551153097014 0.7796986419535596 
giorgia 	 10597.551153097014 0.7796986419535596 
gessner 	 10597.551153097014 0.7796986419535596 
galilei 	 10597.551153097014 0.7796986419535596 
portoria 	 10597.551153097014 0.7796986419535596 
luca 	 10597.551153097014 0.7796986419535596 
orioni 	 10597.551153097014 0.7796986419535596 
chiossetto 	 10597.551153097014 0.7796986419535596 
informare 	 10597.551153097014 0.7796986419535596 
media 	 1533.584111306941 0.7796986419535596 
angle 	 7747.236610176223 0.7796986419535596 
paolo 	 9369.987496325351 0.7796986419535596 
trimigno 	 10597.551153097014 0.7796986419535596 
melloni 	 10597.551153097014 0.7796986419535596 
motonautica 	 10597.551153097014 0.7796986419535596 
renoma 	 10597.551153097014 0.7796986419535596 
giampiero 	 10597.551153097014 0.7796986419535596 
muggiani 	 10597.551153097014 0.7796986419535596 
curie 	 10597.551153097014 0.7796986419535596 
settimo 	 10597.551153097014 0.7796986419535596 
milanese 	 9369.987496325351 0.7796986419535596 
exhibits 	 6706.26642663457 0.7796986419535596 
salone 	 10597.551153097014 0.7796986419535596 
nautico 	 10597.551153097014 0.7796986419535596 
internazionale 	 10597.551153097014 0.7796986419535596 
fairgrounds 	 10597.551153097014 0.7796986419535596 
organizer 	 4684.993748162676 1.1219901757488229 
nauticsud 	 10597.551153097014 0.7796986419535596 
march 	 3855.951883713778 0.7796986419535596 
naples 	 5298.775576548507 1.1219901757488229 
mostra 	 10597.551153097014 0.7796986419535596 
oltremare 	 10597.551153097014 0.7796986419535596 
tecchio 	 10597.551153097014 0.7796986419535596 
artwork 	 7747.236610176223 0.7796986419535596 
pfd 	 7747.236610176223 0.7796986419535596 
gif 	 612.0250337069505 0.7796986419535596 
return 	 2688.427874959746 0.7796986419535596 
recreational 	 6706.26642663457 0.7796986419535596 
building 	 3500.564082050308 0.7796986419535596 
home 	 790.932166207186 0.7796986419535596 
page 	 869.3393369409029 0.7796986419535596 
index2 	 6706.26642663457 0.7796986419535596 
htm 	 1161.8824581706663 0.7796986419535596 
