term 	 tf-idf weight 	 BM25 ranking 
 copyright 	 205.8234197537832 1.6217739296311922 
awaited 	 12133.177025738105 0.6002085625550716 
los 	 8163.916775645517 0.6002085625550716 
angeles 	 8645.063364024763 0.6002085625550716 
com 	 424.5958090353202 1.1252443773892415 
munications 	 15791.607844733497 0.6002085625550716 
spent 	 4081.9583878227586 0.9233237228713409 
fine 	 8021.233378713259 0.6002085625550716 
tuning 	 13962.3924352358 0.6002085625550716 
shinsegi 	 15791.607844733497 0.6002085625550716 
tele 	 9993.132185143213 0.6002085625550716 
south 	 1565.1413407202454 1.1252443773892415 
korea 	 4731.781109909298 0.9233237228713409 
aug 	 11063.154605440659 0.6002085625550716 
importantly 	 10656.350961376524 0.6002085625550716 
verified 	 12892.370014938355 0.6002085625550716 
test 	 1602.2610776157333 1.2633889509362115 
results 	 4579.828900965237 0.6002085625550716 
cdma's 	 15791.607844733497 0.6002085625550716 
kilobits 	 15791.607844733497 0.6002085625550716 
vocoder 	 15791.607844733497 0.6002085625550716 
touch 	 9022.7064903925 0.6002085625550716 
stone 	 11063.154605440659 0.6002085625550716 
wireline 	 5263.869281577832 1.1252443773892415 
voice 	 1851.1809466113168 1.2633889509362115 
networks 	 2308.484798985741 1.2633889509362115 
available 	 2065.143740379137 0.9233237228713409 
kevin 	 12133.177025738105 0.6002085625550716 
kelley 	 13962.3924352358 0.6002085625550716 
external 	 8163.916775645517 0.6002085625550716 
affairs 	 6262.395473265387 0.6002085625550716 
qualcomm 	 5263.869281577832 1.1252443773892415 
plans 	 508.86987788502637 1.5883976299773335 
ship 	 11063.154605440659 0.6002085625550716 
mil 	 12892.370014938355 0.6002085625550716 
lion 	 15791.607844733497 0.6002085625550716 
terminals 	 15791.607844733497 0.6002085625550716 
esmr 	 7895.803922366748 0.9233237228713409 
nextel 	 3158.321568946699 1.3638517799779162 
communica 	 15791.607844733497 0.6002085625550716 
tions 	 15791.607844733497 0.6002085625550716 
questions 	 4260.634962073026 0.6002085625550716 
known 	 4816.315387747321 0.6002085625550716 
april 	 5521.094078019552 0.6002085625550716 
resolved 	 9463.562219818596 0.6002085625550716 
cementing 	 15791.607844733497 0.6002085625550716 
nation 	 7093.89435534807 0.6002085625550716 
wide 	 2815.5341619103256 0.9233237228713409 
footprint 	 15791.607844733497 0.6002085625550716 
immi 	 15791.607844733497 0.6002085625550716 
nent 	 15791.607844733497 0.6002085625550716 
acquisition 	 9233.939195942963 0.6002085625550716 
dial 	 6446.185007469177 0.9233237228713409 
dpge 	 7895.803922366748 0.9233237228713409 
rutherford 	 13962.3924352358 0.6002085625550716 
conduct 	 7517.038608896469 0.6002085625550716 
asingle 	 15791.607844733497 0.6002085625550716 
beta 	 4044.3923419127013 1.1252443773892415 
executives 	 9463.562219818596 0.6002085625550716 
reconfigured 	 15791.607844733497 0.6002085625550716 
sults 	 15791.607844733497 0.6002085625550716 
decide 	 7885.870374824513 0.6002085625550716 
proceed 	 9715.08578432221 0.6002085625550716 
mercial 	 15791.607844733497 0.6002085625550716 
disclosed 	 5772.150596909953 0.9233237228713409 
securities 	 9233.939195942963 0.6002085625550716 
exchange 	 6262.395473265387 0.6002085625550716 
commission 	 5927.897722083687 0.6002085625550716 
filing 	 9233.939195942963 0.6002085625550716 
geotek 	 7895.803922366748 0.9233237228713409 
line 	 4294.2532510996625 0.6002085625550716 
credit 	 3167.3506830739107 0.9233237228713409 
provided 	 6056.654965326818 0.6002085625550716 
hughes 	 5531.5773027203295 0.9233237228713409 
electronics 	 3552.116987125508 1.1252443773892415 
disposal 	 9463.562219818596 0.6002085625550716 
acquire 	 5772.150596909953 0.9233237228713409 
additional 	 6564.324390023454 0.6002085625550716 
mhz 	 2578.4740029876707 1.3638517799779162 
operation 	 3131.1977366326937 0.9233237228713409 
philadelphia 	 9022.7064903925 0.6002085625550716 
initial 	 7517.038608896469 0.6002085625550716 
finally 	 7093.89435534807 0.6002085625550716 
developing 	 3096.0089846077817 0.9233237228713409 
interference 	 9993.132185143213 0.6002085625550716 
reducing 	 8645.063364024763 0.6002085625550716 
filters 	 15791.607844733497 0.6002085625550716 
temperature 	 9993.132185143213 0.6002085625550716 
superconducting 	 15791.607844733497 0.6002085625550716 
materials 	 6262.395473265387 0.6002085625550716 
bound 	 8645.063364024763 0.6002085625550716 
news 	 4816.315387747321 0.6002085625550716 
illinois 	 3242.771210135723 0.9233237228713409 
superconductor 	 7895.803922366748 0.9233237228713409 
proceeding 	 11063.154605440659 0.6002085625550716 
operational 	 8645.063364024763 0.6002085625550716 
trials 	 9463.562219818596 0.6002085625550716 
delivery 	 4413.567775939414 0.9233237228713409 
receiver 	 12892.370014938355 0.6002085625550716 
filter 	 11544.301193819905 0.6002085625550716 
subsystem 	 13962.3924352358 0.6002085625550716 
base 	 1198.9151801491341 1.4402001783031706 
stations 	 3331.044061714404 1.1252443773892415 
asia 	 2942.3785172929424 1.1252443773892415 
brazil 	 5531.5773027203295 0.9233237228713409 
commerce 	 4511.35324519625 0.9233237228713409 
department's 	 13962.3924352358 0.6002085625550716 
office 	 4328.3053364616235 0.6002085625550716 
india 	 8163.916775645517 0.6002085625550716 
merit 	 12892.370014938355 0.6002085625550716 
scrutiny 	 10656.350961376524 0.6002085625550716 
emerging 	 8645.063364024763 0.6002085625550716 
untapped 	 15791.607844733497 0.6002085625550716 
agency 	 5575.508376947571 0.6002085625550716 
analyst 	 13962.3924352358 0.6002085625550716 
stephanie 	 13962.3924352358 0.6002085625550716 
mccullough 	 13962.3924352358 0.6002085625550716 
countries 	 2347.712011080368 0.9233237228713409 
taiwan 	 9715.08578432221 0.6002085625550716 
belgium 	 10303.961616240409 0.6002085625550716 
poland 	 7885.870374824513 0.6002085625550716 
ireland 	 8645.063364024763 0.6002085625550716 
czech 	 6564.324390023454 0.6002085625550716 
republic 	 5216.255568905004 0.6002085625550716 
choose 	 8021.233378713259 0.6002085625550716 
spring 	 8474.746206742713 0.6002085625550716 
shape 	 9022.7064903925 0.6002085625550716 
european 	 4986.632545029372 0.6002085625550716 
nations 	 6997.920142381133 0.6002085625550716 
tigers 	 15791.607844733497 0.6002085625550716 
waves 	 10303.961616240409 0.6002085625550716 
china 	 6409.044310462933 0.6002085625550716 
user 	 7296.994542906314 0.6002085625550716 
tariffs 	 10656.350961376524 0.6002085625550716 
projected 	 5151.9808081202045 0.9233237228713409 
spelling 	 12133.177025738105 0.6002085625550716 
third 	 5364.275671397109 0.6002085625550716 
contract 	 2468.2412621484223 1.1252443773892415 
guangdong 	 15791.607844733497 0.6002085625550716 
soon 	 3452.6570746995953 0.9233237228713409 
qualify 	 9233.939195942963 0.6002085625550716 
biggest 	 4322.531682012382 0.9233237228713409 
boasting 	 15791.607844733497 0.6002085625550716 
proximately 	 15791.607844733497 0.6002085625550716 
indonesia 	 3552.116987125508 1.1252443773892415 
run 	 3028.327482663409 0.9233237228713409 
telekomunikasi 	 15791.607844733497 0.6002085625550716 
con 	 6446.185007469177 0.9233237228713409 
verting 	 15791.607844733497 0.6002085625550716 
revenue 	 8645.063364024763 0.6002085625550716 
sharing 	 8645.063364024763 0.6002085625550716 
arrangements 	 9463.562219818596 0.6002085625550716 
investors 	 9022.7064903925 0.6002085625550716 
fixed 	 2721.305591881839 1.1252443773892415 
joint 	 6645.530797245017 0.6002085625550716 
ventures 	 9463.562219818596 0.6002085625550716 
door 	 10656.350961376524 0.6002085625550716 
foreign 	 4006.076319604049 0.6002085625550716 
akin 	 13962.3924352358 0.6002085625550716 
nynex 	 6981.1962176179 0.9233237228713409 
oct 	 9715.08578432221 0.6002085625550716 
paid 	 6997.920142381133 0.6002085625550716 
stakes 	 12892.370014938355 0.6002085625550716 
indonesia's 	 12133.177025738105 0.6002085625550716 
carriers 	 3154.5207399395317 1.1252443773892415 
sheer 	 12133.177025738105 0.6002085625550716 
participants 	 9463.562219818596 0.6002085625550716 
combined 	 5151.9808081202045 0.9233237228713409 
sub 	 9993.132185143213 0.6002085625550716 
scriber 	 15791.607844733497 0.6002085625550716 
lehman 	 6981.1962176179 0.9233237228713409 
brothers 	 5531.5773027203295 0.9233237228713409 
malaysia 	 12133.177025738105 0.6002085625550716 
celcom 	 15791.607844733497 0.6002085625550716 
dominant 	 8163.916775645517 0.6002085625550716 
saddled 	 15791.607844733497 0.6002085625550716 
difficult 	 6564.324390023454 0.6002085625550716 
task 	 8645.063364024763 0.6002085625550716 
protecting 	 8645.063364024763 0.6002085625550716 
position 	 3830.077782302053 0.6002085625550716 
upstarts 	 15791.607844733497 0.6002085625550716 
item 	 10303.961616240409 0.6002085625550716 
tel 	 419.72450890649833 1.808305254272285 
arthur 	 9993.132185143213 0.6002085625550716 
andersen 	 15791.607844733497 0.6002085625550716 
department 	 5076.098739901495 0.6002085625550716 
northern 	 2628.6234582748375 1.1252443773892415 
labs 	 12892.370014938355 0.6002085625550716 
anticipates 	 15791.607844733497 0.6002085625550716 
spending 	 8827.135551878828 0.6002085625550716 
build 	 8163.916775645517 0.6002085625550716 
communication 	 6485.542420271446 0.6002085625550716 
powertel 	 7895.803922366748 0.9233237228713409 
partners 	 9022.7064903925 0.6002085625550716 
won 	 8163.916775645517 0.6002085625550716 
licenses 	 1522.3358516252176 1.5001861749643932 
ditional 	 15791.607844733497 0.6002085625550716 
commitment 	 7404.723786445267 0.6002085625550716 
annual 	 3878.556565790691 0.9233237228713409 
west 	 4695.424022160736 0.6002085625550716 
concurrent 	 12133.177025738105 0.6002085625550716 
public 	 2846.58770443448 0.6002085625550716 
quarter 	 11544.301193819905 0.6002085625550716 
approximate 	 13962.3924352358 0.6002085625550716 
amounts 	 8474.746206742713 0.6002085625550716 
raised 	 8021.233378713259 0.6002085625550716 
undertaken 	 10303.961616240409 0.6002085625550716 
conjunction 	 11544.301193819905 0.6002085625550716 
operator's 	 15791.607844733497 0.6002085625550716 
sortium 	 15791.607844733497 0.6002085625550716 
participant 	 11544.301193819905 0.6002085625550716 
cash 	 4322.531682012382 0.9233237228713409 
payable 	 12892.370014938355 0.6002085625550716 
negotiating 	 12133.177025738105 0.6002085625550716 
revolving 	 12133.177025738105 0.6002085625550716 
facility 	 7404.723786445267 0.6002085625550716 
noting 	 5216.255568905004 0.6002085625550716 
operations 	 2872.912767114811 0.9233237228713409 
achieved 	 9463.562219818596 0.6002085625550716 
positive 	 6815.847954527067 0.6002085625550716 
operating 	 2301.7713831330634 1.1252443773892415 
income 	 6334.701366147821 0.6002085625550716 
warned 	 8827.135551878828 0.6002085625550716 
management 	 4397.756713111172 0.6002085625550716 
expects 	 11063.154605440659 0.6002085625550716 
signifi 	 15791.607844733497 0.6002085625550716 
cant 	 12133.177025738105 0.6002085625550716 
losses 	 8645.063364024763 0.6002085625550716 
reflecting 	 8021.233378713259 0.6002085625550716 
impact 	 4943.011717180128 0.6002085625550716 
costs 	 1877.0227746068836 1.1252443773892415 
colombia's 	 7895.803922366748 0.9233237228713409 
communicacion 	 15791.607844733497 0.6002085625550716 
celular 	 15791.607844733497 0.6002085625550716 
comcel 	 3947.901961183374 1.2633889509362115 
received 	 5314.007484869447 0.6002085625550716 
proceeds 	 9993.132185143213 0.6002085625550716 
completed 	 7757.113131581382 0.6002085625550716 
expand 	 8827.135551878828 0.6002085625550716 
coverage 	 2111.5671220492736 1.1252443773892415 
eastern 	 5927.897722083687 0.6002085625550716 
colombia 	 12133.177025738105 0.6002085625550716 
includes 	 3612.3048007894113 0.6002085625550716 
bogota 	 7895.803922366748 0.9233237228713409 
people 	 3092.2533309056853 0.6002085625550716 
adding 	 7757.113131581382 0.6002085625550716 
december 	 3204.5221552314665 0.9233237228713409 
approximately 	 7296.994542906314 0.6002085625550716 
upgrading 	 11544.301193819905 0.6002085625550716 
paired 	 15791.607844733497 0.6002085625550716 
owner 	 8474.746206742713 0.6002085625550716 
canada 	 2301.7713831330634 1.1252443773892415 
components 	 7404.723786445267 0.6002085625550716 
syndicated 	 15791.607844733497 0.6002085625550716 
eurodollar 	 13962.3924352358 0.6002085625550716 
senior 	 2364.63145178269 1.1252443773892415 
secured 	 12892.370014938355 0.6002085625550716 
loan 	 9022.7064903925 0.6002085625550716 
due 	 2538.0493699507474 0.9233237228713409 
oversubscribed 	 15791.607844733497 0.6002085625550716 
placement 	 11063.154605440659 0.6002085625550716 
yield 	 10303.961616240409 0.6002085625550716 
deferred 	 13962.3924352358 0.6002085625550716 
coupon 	 15791.607844733497 0.6002085625550716 
bonds 	 4996.5660925716065 0.9233237228713409 
accrete 	 15791.607844733497 0.6002085625550716 
compounded 	 13962.3924352358 0.6002085625550716 
semiannually 	 15791.607844733497 0.6002085625550716 
november 	 6334.701366147821 0.6002085625550716 
paying 	 9022.7064903925 0.6002085625550716 
warrants 	 11544.301193819905 0.6002085625550716 
fully 	 6815.847954527067 0.6002085625550716 
ercised 	 15791.607844733497 0.6002085625550716 
montreal 	 15791.607844733497 0.6002085625550716 
bce 	 5263.869281577832 1.1252443773892415 
owns 	 10303.961616240409 0.6002085625550716 
rest 	 4081.9583878227586 0.9233237228713409 
principal 	 8645.063364024763 0.6002085625550716 
empresa 	 7895.803922366748 0.9233237228713409 
telecomunicaciones 	 7895.803922366748 0.9233237228713409 
santafe 	 15791.607844733497 0.6002085625550716 
carrier 	 10303.961616240409 0.6002085625550716 
nacional 	 15791.607844733497 0.6002085625550716 
employ 	 9993.132185143213 0.6002085625550716 
hard 	 7193.491080894805 0.6002085625550716 
pairing 	 7895.803922366748 0.9233237228713409 
gsm's 	 15791.607844733497 0.6002085625550716 
frequency 	 4731.781109909298 0.9233237228713409 
counterparts 	 12133.177025738105 0.6002085625550716 
dcs 	 1973.950980591687 1.548560677174281 
toni 	 12892.370014938355 0.6002085625550716 
stadelmann 	 3158.321568946699 1.3638517799779162 
deputy 	 6815.847954527067 0.6002085625550716 
managing 	 9993.132185143213 0.6002085625550716 
director 	 6262.395473265387 0.6002085625550716 
swiss 	 2022.1961709563507 1.4402001783031706 
deployed 	 10303.961616240409 0.6002085625550716 
communi 	 15791.607844733497 0.6002085625550716 
cations 	 13962.3924352358 0.6002085625550716 
geneva 	 5151.9808081202045 0.9233237228713409 
experience 	 4735.108980525759 0.6002085625550716 
limited 	 5575.508376947571 0.6002085625550716 
rolled 	 15791.607844733497 0.6002085625550716 
coincide 	 12133.177025738105 0.6002085625550716 
trade 	 5631.068323820651 0.6002085625550716 
conference 	 1975.965907361229 1.1252443773892415 
october 	 5687.823199398773 0.6002085625550716 
introduce 	 9715.08578432221 0.6002085625550716 
zurich 	 13962.3924352358 0.6002085625550716 
basel 	 15791.607844733497 0.6002085625550716 
enhancing 	 10303.961616240409 0.6002085625550716 
supplement 	 10303.961616240409 0.6002085625550716 
traffic 	 4731.781109909298 0.9233237228713409 
told 	 3204.5221552314665 0.9233237228713409 
america 	 5168.704732883436 0.6002085625550716 
washington 	 2787.7541884737857 0.9233237228713409 
hopes 	 4996.5660925716065 0.9233237228713409 
reach 	 7093.89435534807 0.6002085625550716 
roaming 	 7895.803922366748 0.9233237228713409 
tie 	 12892.370014938355 0.6002085625550716 
europe's 	 10303.961616240409 0.6002085625550716 
kingdom 	 8645.063364024763 0.6002085625550716 
germany 	 5991.491160700828 0.6002085625550716 
contemplating 	 13962.3924352358 0.6002085625550716 
rollouts 	 15791.607844733497 0.6002085625550716 
sweden 	 3434.653872080136 1.1252443773892415 
italy 	 6815.847954527067 0.6002085625550716 
sizable 	 12892.370014938355 0.6002085625550716 
efforts 	 4986.632545029372 0.6002085625550716 
subject 	 2333.060341705436 0.6002085625550716 
meeting 	 3028.327482663409 0.9233237228713409 
know 	 6564.324390023454 0.6002085625550716 
vendor 	 6981.1962176179 0.9233237228713409 
malcolm 	 11063.154605440659 0.6002085625550716 
cowan 	 15791.607844733497 0.6002085625550716 
manager 	 8021.233378713259 0.6002085625550716 
richardson 	 6446.185007469177 0.9233237228713409 
strategies 	 6815.847954527067 0.6002085625550716 
indication 	 11063.154605440659 0.6002085625550716 
finland's 	 15791.607844733497 0.6002085625550716 
plunge 	 13962.3924352358 0.6002085625550716 
telia 	 15791.607844733497 0.6002085625550716 
mobitel 	 15791.607844733497 0.6002085625550716 
station 	 7296.994542906314 0.6002085625550716 
subsystems 	 12892.370014938355 0.6002085625550716 
stand 	 7404.723786445267 0.6002085625550716 
seamless 	 12892.370014938355 0.6002085625550716 
designed 	 4986.632545029372 0.6002085625550716 
bolster 	 12892.370014938355 0.6002085625550716 
heavy 	 9233.939195942963 0.6002085625550716 
calling 	 8163.916775645517 0.6002085625550716 
improve 	 6729.315612097194 0.6002085625550716 
indoor 	 12892.370014938355 0.6002085625550716 
savings 	 3817.1734051604503 0.9233237228713409 
flexibility 	 10656.350961376524 0.6002085625550716 
rates 	 3452.6570746995953 0.9233237228713409 
nordictel 	 15791.607844733497 0.6002085625550716 
holdings 	 11544.301193819905 0.6002085625550716 
sonofon 	 15791.607844733497 0.6002085625550716 
denmark 	 11544.301193819905 0.6002085625550716 
scheduled 	 4081.9583878227586 0.9233237228713409 
afford 	 11063.154605440659 0.6002085625550716 
advantages 	 6564.324390023454 0.6002085625550716 
trans 	 12892.370014938355 0.6002085625550716 
mission 	 6905.314149399191 0.6002085625550716 
customer 	 4511.35324519625 0.9233237228713409 
billing 	 5531.5773027203295 0.9233237228713409 
assigned 	 9463.562219818596 0.6002085625550716 
weightings 	 15791.607844733497 0.6002085625550716 
transmission 	 9463.562219818596 0.6002085625550716 
expenses 	 7634.346810320901 0.6002085625550716 
limiting 	 9715.08578432221 0.6002085625550716 
urban 	 3363.1576434702456 0.6002085625550716 
found 	 4943.011717180128 0.6002085625550716 
devise 	 15791.607844733497 0.6002085625550716 
structure 	 4617.800779101328 0.6002085625550716 
offers 	 5467.779133408618 0.6002085625550716 
appeal 	 3498.9600711905664 0.9233237228713409 
conscious 	 12133.177025738105 0.6002085625550716 
segment 	 9715.08578432221 0.6002085625550716 
wire 	 11063.154605440659 0.6002085625550716 
induce 	 10656.350961376524 0.6002085625550716 
customers 	 9022.7064903925 0.6002085625550716 
switch 	 11063.154605440659 0.6002085625550716 
mobility 	 11544.301193819905 0.6002085625550716 
affords 	 15791.607844733497 0.6002085625550716 
course 	 6262.395473265387 0.6002085625550716 
require 	 7193.491080894805 0.6002085625550716 
robust 	 12892.370014938355 0.6002085625550716 
capability 	 4081.9583878227586 0.9233237228713409 
rhetorically 	 15791.607844733497 0.6002085625550716 
doing 	 6564.324390023454 0.6002085625550716 
sooner 	 12892.370014938355 0.6002085625550716 
considering 	 7885.870374824513 0.6002085625550716 
manufacture 	 10303.961616240409 0.6002085625550716 
ceivers 	 15791.607844733497 0.6002085625550716 
incorporating 	 9993.132185143213 0.6002085625550716 
aiming 	 13962.3924352358 0.6002085625550716 
address 	 5631.068323820651 0.6002085625550716 
agreement 	 5467.779133408618 0.6002085625550716 
collaborate 	 12892.370014938355 0.6002085625550716 
inte 	 15791.607844733497 0.6002085625550716 
grating 	 15791.607844733497 0.6002085625550716 
switches 	 13962.3924352358 0.6002085625550716 
controllers 	 11544.301193819905 0.6002085625550716 
nexus's 	 15791.607844733497 0.6002085625550716 
reverse 	 10656.350961376524 0.6002085625550716 
channel 	 2308.484798985741 1.2633889509362115 
receivers 	 6981.1962176179 0.9233237228713409 
applications 	 2064.005989738521 1.1252443773892415 
platform 	 9463.562219818596 0.6002085625550716 
noteworthy 	 12892.370014938355 0.6002085625550716 
information 	 2192.0713268538566 0.6002085625550716 
gl3000 	 15791.607844733497 0.6002085625550716 
terminal 	 10656.350961376524 0.6002085625550716 
facilitate 	 9463.562219818596 0.6002085625550716 
existing 	 6815.847954527067 0.6002085625550716 
option 	 7093.89435534807 0.6002085625550716 
buy 	 8314.757829769142 0.6002085625550716 
original 	 6485.542420271446 0.6002085625550716 
manufacturer 	 9463.562219818596 0.6002085625550716 
return 	 1001.5190799010122 1.2633889509362115 
charlotte 	 12892.370014938355 0.6002085625550716 
obtain 	 7093.89435534807 0.6002085625550716 
worldwide 	 7757.113131581382 0.6002085625550716 
draws 	 9233.939195942963 0.6002085625550716 
near 	 6409.044310462933 0.6002085625550716 
essentially 	 8314.757829769142 0.6002085625550716 
nov 	 10656.350961376524 0.6002085625550716 
fords 	 15791.607844733497 0.6002085625550716 
unlicensed 	 15791.607844733497 0.6002085625550716 
operates 	 8827.135551878828 0.6002085625550716 
bits 	 13962.3924352358 0.6002085625550716 
slower 	 12892.370014938355 0.6002085625550716 
reflex 	 15791.607844733497 0.6002085625550716 
pact 	 10656.350961376524 0.6002085625550716 
commun 	 12133.177025738105 0.6002085625550716 
ications 	 15791.607844733497 0.6002085625550716 
protocols 	 12133.177025738105 0.6002085625550716 
rani 	 15791.607844733497 0.6002085625550716 
cohen 	 11544.301193819905 0.6002085625550716 
givatayim 	 15791.607844733497 0.6002085625550716 
israel 	 9463.562219818596 0.6002085625550716 
geared 	 11544.301193819905 0.6002085625550716 
critical 	 5168.704732883436 0.6002085625550716 
notably 	 9715.08578432221 0.6002085625550716 
confirmation 	 13962.3924352358 0.6002085625550716 
short 	 5216.255568905004 0.6002085625550716 
sensitive 	 8163.916775645517 0.6002085625550716 
involving 	 6997.920142381133 0.6002085625550716 
minneapolis 	 13962.3924352358 0.6002085625550716 
regional 	 6485.542420271446 0.6002085625550716 
samsung 	 13962.3924352358 0.6002085625550716 
korean 	 9993.132185143213 0.6002085625550716 
conglomerate 	 13962.3924352358 0.6002085625550716 
shipping 	 8827.135551878828 0.6002085625550716 
units 	 8021.233378713259 0.6002085625550716 
supporting 	 7093.89435534807 0.6002085625550716 
summer 	 9022.7064903925 0.6002085625550716 
optimism 	 10303.961616240409 0.6002085625550716 
deregulation 	 10303.961616240409 0.6002085625550716 
ballast 	 15791.607844733497 0.6002085625550716 
related 	 2097.3282627764647 0.9233237228713409 
equities 	 13962.3924352358 0.6002085625550716 
check 	 6997.920142381133 0.6002085625550716 
uncertainty 	 11063.154605440659 0.6002085625550716 
profits 	 8645.063364024763 0.6002085625550716 
form 	 4067.4511788555506 0.6002085625550716 
split 	 8827.135551878828 0.6002085625550716 
manufacturer's 	 13962.3924352358 0.6002085625550716 
performance 	 5927.897722083687 0.6002085625550716 
name 	 5168.704732883436 0.6002085625550716 
ticker 	 15791.607844733497 0.6002085625550716 
symbol 	 9715.08578432221 0.6002085625550716 
mos 	 15791.607844733497 0.6002085625550716 
chg 	 5263.869281577832 1.1252443773892415 
allen 	 9715.08578432221 0.6002085625550716 
aln 	 15791.607844733497 0.6002085625550716 
andrew 	 8827.135551878828 0.6002085625550716 
andw 	 15791.607844733497 0.6002085625550716 
audiovox 	 15791.607844733497 0.6002085625550716 
vox 	 13962.3924352358 0.6002085625550716 
microwave 	 2765.7886513601647 1.2633889509362115 
cmic 	 15791.607844733497 0.6002085625550716 
cincinnati 	 13962.3924352358 0.6002085625550716 
cnmw 	 15791.607844733497 0.6002085625550716 
dsc 	 13962.3924352358 0.6002085625550716 
digi 	 15791.607844733497 0.6002085625550716 
dmic 	 15791.607844733497 0.6002085625550716 
motors 	 10303.961616240409 0.6002085625550716 
gmh 	 15791.607844733497 0.6002085625550716 
gems 	 15791.607844733497 0.6002085625550716 
highwaymaster 	 15791.607844733497 0.6002085625550716 
hwym 	 15791.607844733497 0.6002085625550716 
interdigital 	 15791.607844733497 0.6002085625550716 
idc 	 15791.607844733497 0.6002085625550716 
itron 	 15791.607844733497 0.6002085625550716 
itri 	 15791.607844733497 0.6002085625550716 
lxe 	 15791.607844733497 0.6002085625550716 
lxei 	 15791.607844733497 0.6002085625550716 
metricom 	 15791.607844733497 0.6002085625550716 
mcom 	 15791.607844733497 0.6002085625550716 
mot 	 13962.3924352358 0.6002085625550716 
nxsfc 	 15791.607844733497 0.6002085625550716 
pcms 	 15791.607844733497 0.6002085625550716 
proxim 	 15791.607844733497 0.6002085625550716 
prox 	 15791.607844733497 0.6002085625550716 
qcom 	 15791.607844733497 0.6002085625550716 
specialty 	 10656.350961376524 0.6002085625550716 
teleconstructors 	 15791.607844733497 0.6002085625550716 
sctr 	 15791.607844733497 0.6002085625550716 
spectrian 	 15791.607844733497 0.6002085625550716 
spct 	 15791.607844733497 0.6002085625550716 
stanford 	 10303.961616240409 0.6002085625550716 
stii 	 15791.607844733497 0.6002085625550716 
tellabs 	 15791.607844733497 0.6002085625550716 
tlab 	 15791.607844733497 0.6002085625550716 
telular 	 15791.607844733497 0.6002085625550716 
wrls 	 15791.607844733497 0.6002085625550716 
telxon 	 15791.607844733497 0.6002085625550716 
tlxn 	 15791.607844733497 0.6002085625550716 
trimble 	 15791.607844733497 0.6002085625550716 
navigation 	 11063.154605440659 0.6002085625550716 
trmb 	 15791.607844733497 0.6002085625550716 
rhcs 	 15791.607844733497 0.6002085625550716 
independents 	 12892.370014938355 0.6002085625550716 
ameritech 	 15791.607844733497 0.6002085625550716 
ait 	 15791.607844733497 0.6002085625550716 
alltel 	 15791.607844733497 0.6002085625550716 
atlantic 	 9715.08578432221 0.6002085625550716 
bel 	 11544.301193819905 0.6002085625550716 
bellsouth 	 15791.607844733497 0.6002085625550716 
bls 	 15791.607844733497 0.6002085625550716 
century 	 5264.678945850375 0.6002085625550716 
enterprises 	 10303.961616240409 0.6002085625550716 
ctl 	 15791.607844733497 0.6002085625550716 
frontier 	 12133.177025738105 0.6002085625550716 
fro 	 15791.607844733497 0.6002085625550716 
intelcom 	 15791.607844733497 0.6002085625550716 
itr 	 15791.607844733497 0.6002085625550716 
lci 	 7895.803922366748 0.9233237228713409 
lincoln 	 9715.08578432221 0.6002085625550716 
ltec 	 15791.607844733497 0.6002085625550716 
mfs 	 15791.607844733497 0.6002085625550716 
mfst 	 15791.607844733497 0.6002085625550716 
nyn 	 15791.607844733497 0.6002085625550716 
pac 	 12892.370014938355 0.6002085625550716 
sbc 	 7895.803922366748 0.9233237228713409 
england 	 6905.314149399191 0.6002085625550716 
telecomms 	 7895.803922366748 0.9233237228713409 
sng 	 15791.607844733497 0.6002085625550716 
usw 	 15791.607844733497 0.6002085625550716 
media 	 2285.2221737656787 0.6002085625550716 
umg 	 15791.607844733497 0.6002085625550716 
winstar 	 15791.607844733497 0.6002085625550716 
wcii 	 15791.607844733497 0.6002085625550716 
worldcom 	 15791.607844733497 0.6002085625550716 
wcom 	 15791.607844733497 0.6002085625550716 
conglomerates 	 12892.370014938355 0.6002085625550716 
comcast 	 15791.607844733497 0.6002085625550716 
cmcsk 	 15791.607844733497 0.6002085625550716 
comsat 	 15791.607844733497 0.6002085625550716 
mci 	 13962.3924352358 0.6002085625550716 
mcic 	 15791.607844733497 0.6002085625550716 
fon 	 15791.607844733497 0.6002085625550716 
app 	 12133.177025738105 0.6002085625550716 
apgr 	 15791.607844733497 0.6002085625550716 
metrocall 	 15791.607844733497 0.6002085625550716 
mcll 	 15791.607844733497 0.6002085625550716 
mobilemedia 	 15791.607844733497 0.6002085625550716 
mblm 	 15791.607844733497 0.6002085625550716 
pronet 	 15791.607844733497 0.6002085625550716 
pnet 	 15791.607844733497 0.6002085625550716 
teletouch 	 15791.607844733497 0.6002085625550716 
tell 	 8021.233378713259 0.6002085625550716 
ati 	 13962.3924352358 0.6002085625550716 
comma 	 15791.607844733497 0.6002085625550716 
int'l 	 6981.1962176179 0.9233237228713409 
ccil 	 15791.607844733497 0.6002085625550716 
comms 	 7895.803922366748 0.9233237228713409 
puerto 	 4511.35324519625 0.9233237228713409 
rico 	 4731.781109909298 0.9233237228713409 
ccpr 	 15791.607844733497 0.6002085625550716 
centennial 	 13962.3924352358 0.6002085625550716 
cycl 	 15791.607844733497 0.6002085625550716 
clearnet 	 15791.607844733497 0.6002085625550716 
clntf 	 15791.607844733497 0.6002085625550716 
commnet 	 15791.607844733497 0.6002085625550716 
