term 	 tf-idf weight 	 BM25 ranking 
 pubs 	 4563.184459273269 1.01939662875008 
scissors 	 13027.029283056014 0.6840203152038943 
clip 	 11518.047870977012 0.6840203152038943 
applier 	 13027.029283056014 0.6840203152038943 
line 	 3542.4741673527724 0.6840203152038943 
grounding 	 13027.029283056014 0.6840203152038943 
pad 	 13027.029283056014 0.6840203152038943 
elimination 	 4395.391444281298 1.01939662875008 
items 	 7131.603995256502 0.6840203152038943 
reduced 	 6616.985625410673 0.6840203152038943 
waste 	 6201.0583749782545 0.6840203152038943 
loss 	 5166.060987229537 0.6840203152038943 
lastly 	 11518.047870977012 0.6840203152038943 
laparoscopically 	 13027.029283056014 0.6840203152038943 
unique 	 5415.132321743486 0.6840203152038943 
extreme 	 6991.1036347400095 0.6840203152038943 
subtotal 	 13027.029283056014 0.6840203152038943 
colectomies 	 13027.029283056014 0.6840203152038943 
resections 	 13027.029283056014 0.6840203152038943 
trauma 	 9126.368918546537 0.6840203152038943 
require 	 2967.0765598916237 1.01939662875008 
portion 	 7617.387506467538 0.6840203152038943 
torso 	 13027.029283056014 0.6840203152038943 
mobility 	 9523.282947686977 0.6840203152038943 
detracts 	 13027.029283056014 0.6840203152038943 
benefited 	 13027.029283056014 0.6840203152038943 
placing 	 9126.368918546537 0.6840203152038943 
ergonomically 	 13027.029283056014 0.6840203152038943 
surgeons 	 10009.066458898013 0.6840203152038943 
potential 	 4467.444880615156 0.6840203152038943 
attempted 	 8014.301535607976 0.6840203152038943 
utilize 	 4007.150767803988 1.01939662875008 
computerized 	 8243.671378195064 0.6840203152038943 
alternative 	 4838.896631191128 0.6840203152038943 
accomplishes 	 13027.029283056014 0.6840203152038943 
efficient 	 6991.1036347400095 0.6840203152038943 
movements 	 2848.21313058773 1.01939662875008 
positions 	 5551.2391388918495 0.6840203152038943 
secondly 	 11518.047870977012 0.6840203152038943 
activate 	 13027.029283056014 0.6840203152038943 
holding 	 5934.153119783247 0.6840203152038943 
steady 	 10635.350330625539 0.6840203152038943 
requirement 	 5851.992425764589 0.6840203152038943 
moderate 	 8500.085046819011 0.6840203152038943 
alteration 	 13027.029283056014 0.6840203152038943 
deactivate 	 11518.047870977012 0.6840203152038943 
reactivate 	 13027.029283056014 0.6840203152038943 
finally 	 5851.992425764589 0.6840203152038943 
fine 	 6616.985625410673 0.6840203152038943 
performing 	 8500.085046819011 0.6840203152038943 
delicate 	 10009.066458898013 0.6840203152038943 
believe 	 2811.3112915887505 1.01939662875008 
devices 	 6991.1036347400095 0.6840203152038943 
delineate 	 11518.047870977012 0.6840203152038943 
usable 	 10635.350330625539 0.6840203152038943 
maximize 	 10009.066458898013 0.6840203152038943 
authors 	 6991.1036347400095 0.6840203152038943 
strongly 	 8014.301535607976 0.6840203152038943 
investigations 	 6616.985625410673 0.6840203152038943 
details 	 5772.820064404595 0.6840203152038943 
respective 	 6734.689966116063 0.6840203152038943 
urgent 	 8500.085046819011 0.6840203152038943 
references 	 8243.671378195064 0.6840203152038943 
sackier 	 13027.029283056014 0.6840203152038943 
wang 	 4250.0425234095055 1.01939662875008 
assisted 	 9126.368918546537 0.6840203152038943 
surg 	 2171.171547176002 1.5144077407632044 
endosc 	 2171.171547176002 1.5144077407632044 
global 	 5225.708554037062 0.6840203152038943 
mini 	 8243.671378195064 0.6840203152038943 
initial 	 6201.0583749782545 0.6840203152038943 
report 	 3433.6014817617347 0.6840203152038943 
press 	 3542.4741673527724 0.6840203152038943 
birkett 	 13027.029283056014 0.6840203152038943 
josephs 	 13027.029283056014 0.6840203152038943 
este 	 7443.134531862248 0.6840203152038943 
mcdonald 	 13027.029283056014 0.6840203152038943 
gastrointestinal 	 11518.047870977012 0.6840203152038943 
satava 	 13027.029283056014 0.6840203152038943 
applied 	 5287.03655319356 0.6840203152038943 
advanced 	 5482.122222661009 0.6840203152038943 
systems 	 3433.6014817617347 0.6840203152038943 
amaral 	 13027.029283056014 0.6840203152038943 
consecutive 	 8243.671378195064 0.6840203152038943 
ultrasonically 	 13027.029283056014 0.6840203152038943 
laparosc 	 13027.029283056014 0.6840203152038943 
proceedings 	 7281.801476483596 0.6840203152038943 
developers 	 9523.282947686977 0.6840203152038943 
expo 	 10635.350330625539 0.6840203152038943 
cambridge 	 9523.282947686977 0.6840203152038943 
june 	 4554.53649406918 0.6840203152038943 
laparoscopy 	 13027.029283056014 0.6840203152038943 
diagnosis 	 7131.603995256502 0.6840203152038943 
treatment 	 3570.5648796805435 0.6840203152038943 
abdominal 	 13027.029283056014 0.6840203152038943 
sepsis 	 13027.029283056014 0.6840203152038943 
toolbar1 	 10009.066458898013 0.6840203152038943 
http 	 955.177986424006 0.6840203152038943 
www 	 946.6906462391202 0.6840203152038943 
rain 	 7443.134531862248 0.6840203152038943 
org 	 5551.2391388918495 0.6840203152038943 
cgi 	 6734.689966116063 0.6840203152038943 
bin 	 7806.8112741739615 0.6840203152038943 
imagemap 	 7281.801476483596 0.6840203152038943 
cmotion 	 10009.066458898013 0.6840203152038943 
map 	 5772.820064404595 0.6840203152038943 
company 	 4042.2577268128493 0.6840203152038943 
cinfo 	 10009.066458898013 0.6840203152038943 
htm 	 204.03469480015653 1.5688226060202863 
pinfo 	 10009.066458898013 0.6840203152038943 
publications 	 4042.2577268128493 0.6840203152038943 
endorsements 	 10009.066458898013 0.6840203152038943 
endors 	 10009.066458898013 0.6840203152038943 
support 	 1511.7266846565058 1.01939662875008 
news 	 3973.140810582008 0.6840203152038943 
home 	 972.2525837566595 0.6840203152038943 
index2 	 8243.671378195064 0.6840203152038943 
