term 	 tf-idf weight 	 BM25 ranking 
 http 	 150.16521169206067 1.5355580403971436 
makers 	 4484.688042951838 0.9050460198867157 
key 	 2395.5169634671156 0.9050460198867157 
locality 	 8192.008768260765 0.9050460198867157 
main 	 1228.1857132132936 1.2461709917036132 
behavioural 	 8192.008768260765 0.9050460198867157 
technical 	 3490.8802853205984 0.9050460198867157 
table 	 2242.344021475919 1.2461709917036132 
industrial 	 1352.9848188387555 1.2461709917036132 
industries 	 4396.334807514503 0.9050460198867157 
occupations 	 2229.336181691374 1.4252348926571359 
price 	 1571.1388376441903 0.9050460198867157 
base 	 1865.8373038546774 1.2461709917036132 
estimation 	 4790.171564700991 0.9050460198867157 
period 	 1316.631143411358 1.2461709917036132 
solution 	 3785.367764016197 0.9050460198867157 
input 	 4909.290139799795 0.9050460198867157 
output 	 2340.2965489479598 1.2461709917036132 
tables 	 4484.688042951838 0.9050460198867157 
summarises 	 8192.008768260765 0.9050460198867157 
constructed 	 6294.171787887633 0.9050460198867157 
estimated 	 3680.008098700837 0.9050460198867157 
solved 	 5739.090054887556 0.9050460198867157 
personal 	 1957.7513036596233 0.9050460198867157 
computer 	 3176.5928747092776 0.9050460198867157 
sophisticated 	 4680.5930978959195 0.9050460198867157 
friendly 	 4680.5930978959195 0.9050460198867157 
front 	 3324.7372720817566 0.9050460198867157 
end' 	 8192.008768260765 0.9050460198867157 
summary 	 2809.3394770611617 0.9050460198867157 
provides 	 2435.784572314531 0.9050460198867157 
complete 	 1521.4629049381383 1.2461709917036132 
covering 	 4909.290139799795 0.9050460198867157 
bank 	 2756.679138607909 0.9050460198867157 
broader 	 5345.253297701069 0.9050460198867157 
pictures 	 4396.334807514503 0.9050460198867157 
trade 	 2921.1567015196933 0.9050460198867157 
linkages 	 8192.008768260765 0.9050460198867157 
capability 	 1058.7724579252285 1.5355580403971436 
deal 	 3042.9258098762766 0.9050460198867157 
population 	 2836.4492738296317 0.9050460198867157 
short 	 2705.969637677511 0.9050460198867157 
term 	 1340.651151822172 1.2461709917036132 
variants 	 8192.008768260765 0.9050460198867157 
analysing 	 8192.008768260765 0.9050460198867157 
demand 	 3286.171341514349 0.9050460198867157 
incorporating 	 5184.00832188748 0.9050460198867157 
insights 	 4909.290139799795 0.9050460198867157 
technological 	 4161.071805781907 0.9050460198867157 
innovation 	 5739.090054887556 0.9050460198867157 
occupational 	 5039.769775951915 0.9050460198867157 
associated 	 3364.421210061239 0.9050460198867157 
models 	 3447.416317327938 0.9050460198867157 
anthony 	 5528.05777420404 0.9050460198867157 
barker 	 6688.008545074122 0.9050460198867157 
covent 	 7243.090278074199 0.9050460198867157 
garden 	 5345.253297701069 0.9050460198867157 
cb1 	 7243.090278074199 0.9050460198867157 
united 	 943.7653918215334 1.2461709917036132 
kingdom 	 2242.344021475919 1.2461709917036132 
tel 	 2395.0857823504957 1.2461709917036132 
fax 	 1624.3310729254101 1.2461709917036132 
keyboard 	 3621.5451390370995 1.2461709917036132 
mail 	 603.8756799686684 1.5355580403971436 
internet 	 472.38549277768374 1.4252348926571359 
mailto 	 248.6244009886827 1.5355580403971436 
cam 	 6294.171787887633 0.9050460198867157 
econ 	 6688.008545074122 0.9050460198867157 
notes 	 1207.7513599373367 1.2461709917036132 
compuserve 	 1679.9232586506384 1.4252348926571359 
com 	 660.7862780250323 0.9050460198867157 
cam_econ 	 7243.090278074199 0.9050460198867157 
institute 	 2809.3394770611617 0.9050460198867157 
coventry 	 7243.090278074199 0.9050460198867157 
cv4 	 8192.008768260765 0.9050460198867157 
return 	 2078.1805538226386 0.9050460198867157 
homepage 	 4090.85128576535 0.9050460198867157 
index 	 595.3236080392078 0.9050460198867157 
htm 	 898.1462931878273 0.9050460198867157 
